,Index,Org ID,Name,Website,Country,Description,Founded,Industry,Num of employees
0,38,,Cook-Bishop,https://randolph-webster.net/,Netherlands Antilles,Secured needs-based benchmark,2009,Plastics,
1,43,,Ross-Howard,https://www.mcconnell.com/,Sudan,Ameliorated next generation policy,1994,Recreational Facilities / Services,
2,109,,Barrera-Small,http://house-harding.com/,Madagascar,Fully-configurable even-keeled intranet,1988,Law Practice / Law Firms,
3,112,,Hurst-Wyatt,http://www.kemp.biz/,Papua New Guinea,Persevering asynchronous analyzer,1970,Higher Education / Acadamia,
4,123,,Acevedo-Durham,http://www.may.com/,Bermuda,Extended zero-defect installation,2012,Automotive,
5,162,,Middleton Inc,https://www.montgomery.com/,Saint Vincent and the Grenadines,Seamless foreground database,2013,Philanthropy,
6,179,,Luna Ltd,https://www.decker.com/,Gabon,Switchable homogeneous attitude,1971,Shipbuilding,
7,229,,Duran-Knox,http://www.sharp.com/,Antarctica (the territory South of 60 deg S),Universal web-enabled portal,1979,Government Administration,
8,239,,Blanchard LLC,https://andersen-stone.com/,Thailand,Digitized global encoding,1990,Museums / Institutions,
9,266,,Lopez-Watts,http://www.gibbs.org/,Chile,Configurable didactic Graphical User Interface,2021,Marketing / Advertising / Sales,
10,283,,Donaldson Group,http://brandt-roth.net/,Syrian Arab Republic,Implemented demand-driven installation,1999,Law Practice / Law Firms,
11,319,,Grimes-Cabrera,https://shepard.com/,Liechtenstein,Versatile bottom-line concept,1994,Judiciary,
12,320,,Dickerson-Levy,http://www.pena.biz/,Mongolia,De-engineered solution-oriented function,1987,Pharmaceuticals,
13,347,,Rodgers and Sons,http://www.ruiz.com/,Macao,Customizable content-based challenge,2021,Wireless,
14,376,,Gregory-Malone,https://hayden-garrison.org/,Tonga,Self-enabling human-resource collaboration,2011,Facilities Services,
15,424,,Donaldson-Moreno,https://steele.com/,Ghana,Phased real-time info-mediaries,1971,Staffing / Recruiting,
16,434,,Newton-Moody,http://simpson.com/,Aruba,Proactive mission-critical product,2009,Fundraising,
17,458,,Glenn and Sons,https://www.petersen-salas.info/,Palau,Mandatory executive orchestration,1977,International Affairs,
18,549,,Shaffer and Sons,https://www.woods-nielsen.com/,Uganda,Fundamental radical pricing structure,2000,Fundraising,
19,565,,Cabrera-Romero,http://www.alexander.net/,Tonga,Compatible local framework,2021,Research Industry,
