,Index,Org ID,Name,Website,Country,Description,Founded,Industry,Num of employees
0,5,,Mcdowell-Hopkins,http://fuentes.com/,Mayotte,Cloned bifurcated solution,2016,Online Publishing,
1,64,,Kaufman-Bush,https://bullock.info/,Korea,Focused attitude-oriented contingency,1970,Aviation / Aerospace,
2,119,,Beard-Foley,http://krause.net/,Panama,Configurable 4thgeneration paradigm,2017,Online Publishing,
3,127,,Donaldson PLC,https://www.baxter-bauer.com/,Mexico,Vision-oriented bottom-line circuit,2000,Law Practice / Law Firms,
4,147,,Barry-Holloway,https://www.spears.com/,Sweden,Reactive user-facing initiative,1992,Accounting,
5,204,,Charles Ltd,http://www.rush.com/,Bermuda,Networked impactful application,1973,Leisure / Travel,
6,216,,Friedman PLC,http://hawkins-whitney.com/,Holy See (Vatican City State),Diverse regional toolset,2007,Photography,
7,265,,Esparza and Sons,http://www.estes.info/,Namibia,Assimilated even-keeled synergy,1974,Architecture / Planning,
8,344,,Petty Ltd,http://frost.com/,Mauritius,Focused leadingedge project,1987,Luxury Goods / Jewelry,
9,346,,Cantu-Dodson,http://ponce-valenzuela.com/,China,Managed human-resource array,1977,Judiciary,
10,377,,Alvarez Ltd,https://www.stephens-gillespie.info/,Turks and Caicos Islands,Operative hybrid capacity,2002,Tobacco,
11,404,,Hubbard Inc,https://mahoney-rollins.biz/,Comoros,Team-oriented systemic forecast,1994,Newspapers / Journalism,
12,412,,Gay-Lee,https://bonilla.com/,Hungary,Profit-focused executive implementation,2005,Food / Beverages,
13,441,,Lynn Inc,https://marks-wilkinson.org/,Mongolia,Open-architected mission-critical monitoring,1997,Tobacco,
14,450,,Stevens and Sons,http://keller-arias.com/,Montserrat,Realigned full-range framework,2015,Information Services,
15,467,,Sharp and Sons,http://www.clayton.net/,Mauritius,Implemented global info-mediaries,1979,Airlines / Aviation,
16,471,,Hahn-Castillo,https://www.hall.com/,Latvia,Optional fresh-thinking success,1980,Retail Industry,
17,478,,Garrison PLC,https://willis-sanchez.biz/,Bouvet Island (Bouvetoya),Adaptive clear-thinking frame,1981,Consumer Electronics,
18,513,,House LLC,https://www.thomas.com/,Turkey,Diverse neutral workforce,1976,Luxury Goods / Jewelry,
19,597,,Michael Inc,http://fuentes-schroeder.info/,Bahrain,User-centric well-modulated projection,1993,Sports,
20,681,,Pugh and Sons,https://www.scott.com/,Tunisia,Reactive systemic toolset,1986,Executive Office,
21,700,,Moss and Sons,http://rowe-serrano.biz/,Greenland,Team-oriented bi-directional hardware,1989,Media Production,
22,725,,Mueller-Archer,https://www.branch-kelley.biz/,Romania,Object-based zero tolerance approach,2011,Fishery,
23,731,,Parrish-Blankenship,http://ware-hayden.com/,Saint Martin,Public-key asymmetric Internet solution,1996,Education Management,
24,743,,Paul Inc,https://bentley-tate.net/,Faroe Islands,Fully-configurable empowering leverage,1997,Marketing / Advertising / Sales,
25,782,,Watkins and Sons,https://www.pearson.net/,Uruguay,Total grid-enabled interface,1970,Facilities Services,
26,787,,Ware-Hale,https://www.watkins.com/,Saint Kitts and Nevis,Cross-platform tangible installation,2013,Import / Export,
27,804,,Best LLC,https://barnett-oliver.com/,Sweden,Inverse discrete interface,1999,Executive Office,
28,840,,Duran-Long,https://www.gaines-kent.biz/,Faroe Islands,Public-key methodical customer loyalty,1992,Telecommunications,
29,851,,Watson Ltd,http://www.alvarado.info/,French Southern Territories,Polarized value-added archive,1983,Architecture / Planning,
30,871,,Keller-Bond,https://www.castillo.biz/,Mozambique,Public-key high-level Graphic Interface,2009,Farming,
31,975,,Powell PLC,https://conrad.com/,Mongolia,Multi-lateral methodical secured line,2001,Marketing / Advertising / Sales,
32,1025,,Mejia Group,http://becker.com/,Brunei Darussalam,Optimized hybrid hardware,2002,Motion Pictures / Film,
33,1074,,Dudley LLC,https://ortiz.com/,Monaco,Business-focused mobile synergy,2003,Think Tanks,
34,1075,,Manning Inc,http://hooper-baxter.com/,Mongolia,Front-line analyzing service-desk,2015,Non - Profit / Volunteering,
35,1100,,Weber-Stout,https://vincent.biz/,Jordan,Open-source grid-enabled array,1980,Tobacco,
36,1107,,Knapp-Graham,https://grant.com/,Suriname,Reactive background alliance,2006,Construction,
37,1158,,Morales-Harrell,https://www.cooke.com/,Bhutan,Persevering zero tolerance function,2006,Legislative Office,
38,1172,,Daniel-Bryan,http://www.hamilton.net/,Norway,Function-based bifurcated migration,2011,Architecture / Planning,
39,1190,,Holland-Hoffman,https://cohen.org/,Saint Kitts and Nevis,Horizontal fault-tolerant installation,2020,Photography,
40,1212,,Crosby-Williams,https://www.underwood.com/,Oman,Programmable neutral protocol,2017,Business Supplies / Equipment,
41,1221,,Chandler-Ingram,https://www.daniel.com/,Denmark,Progressive value-added challenge,2014,Package / Freight Delivery,
42,1222,,Crosby-York,https://www.montgomery.org/,Cameroon,Right-sized 4thgeneration open system,2017,Maritime,
43,1267,,Dorsey-Bolton,http://www.bradford.info/,Solomon Islands,Networked upward-trending moratorium,1981,Maritime,
44,1304,,Quinn and Sons,http://www.holt.com/,Guernsey,Stand-alone executive paradigm,1997,Dairy,
45,1388,,Morse Ltd,http://www.erickson.biz/,Syrian Arab Republic,Right-sized scalable definition,2002,Financial Services,
46,1409,,Dunlap Group,http://patrick.com/,Tajikistan,Reactive directional matrix,2003,Retail Industry,
47,1410,,Orozco-Morgan,https://sawyer.info/,Oman,Proactive discrete time-frame,1986,Government Relations,
48,1415,,Proctor LLC,https://bentley-pace.com/,Bahrain,Implemented object-oriented array,2003,Mechanical or Industrial Engineering,
49,1591,,Adams-Mora,https://www.sutton.com/,Indonesia,Programmable holistic open system,1989,Information Services,
50,1607,,Knight-Bernard,https://www.parsons.com/,Niue,Mandatory static access,1993,Research Industry,
51,1621,,Whitehead Ltd,https://skinner-barnett.biz/,Turkmenistan,Balanced 24/7 interface,2021,Chemicals,
52,1624,,Livingston Inc,https://www.chapman-maddox.info/,Sierra Leone,Up-sized real-time matrices,1983,Utilities,
53,1633,,Baxter-Nguyen,http://orr-little.com/,Cape Verde,Universal fresh-thinking orchestration,2015,Mental Health Care,
54,1639,,Keith-Stark,http://www.mcintyre.com/,Kyrgyz Republic,Object-based non-volatile leverage,1979,Pharmaceuticals,
55,1658,,Nixon Inc,http://nicholson.biz/,Georgia,Realigned multimedia attitude,1978,Paper / Forest Products,
56,1679,,Wiley PLC,http://benton.com/,Cocos (Keeling) Islands,Customizable 4thgeneration intranet,1997,Mental Health Care,
57,1682,,Haley-Norman,http://gay.com/,Taiwan,Cross-group mission-critical data-warehouse,2014,Financial Services,
58,1698,,Schmidt-Gill,https://bray.info/,Guernsey,Profound context-sensitive task-force,2014,Furniture,
59,1707,,Sheppard Ltd,http://www.nguyen.biz/,Samoa,Phased upward-trending success,2018,Machinery,
60,1709,,Decker Group,https://foley-martin.com/,Eritrea,Quality-focused empowering migration,1986,Newspapers / Journalism,
61,1974,,Mckenzie-Ho,http://hayden-ballard.org/,Lithuania,Automated demand-driven capacity,1990,Translation / Localization,
62,1983,,Howe LLC,http://www.mcknight.info/,Guernsey,Versatile contextually-based knowledge user,1971,Facilities Services,
63,1996,,Le Group,http://ford-walker.com/,Holy See (Vatican City State),Team-oriented human-resource website,2017,Higher Education / Acadamia,
64,2001,,Mcdowell Inc,http://frederick.com/,Belize,Cross-group user-facing complexity,2003,Pharmaceuticals,
65,2020,,Valenzuela Inc,https://www.weaver-blackburn.net/,Brazil,Configurable directional approach,1997,Management Consulting,
66,2066,,Roth and Sons,http://bradshaw.com/,Aruba,Compatible human-resource approach,1997,Oil / Energy / Solar / Greentech,
67,2155,,Vance-Blake,http://www.mckinney.info/,Belarus,Assimilated contextually-based framework,2007,Electrical / Electronic Manufacturing,
68,2175,,Turner Ltd,http://www.sandoval.com/,Isle of Man,Robust hybrid focus group,1975,Restaurants,
69,2223,,Mcbride-Rose,http://www.mcconnell.net/,Slovakia (Slovak Republic),Visionary empowering migration,2012,Political Organization,
70,2278,,Webb-Mayer,https://stewart.com/,Jordan,Optimized system-worthy open system,2016,Packaging / Containers,
71,2436,,Ali and Sons,https://www.pena.biz/,Germany,Customer-focused executive approach,1971,Fundraising,
72,2442,,Marks Group,http://www.doyle-park.com/,Guatemala,Synchronized object-oriented firmware,2019,Motion Pictures / Film,
73,2460,,Small and Sons,http://lamb.com/,Bahrain,Advanced upward-trending utilization,1998,Government Administration,
74,2473,,Henson-Donovan,https://www.bray-powell.com/,Bhutan,Robust scalable extranet,2019,Glass / Ceramics / Concrete,
75,2477,,Lutz Inc,http://conley.biz/,Algeria,Reduced solution-oriented software,1984,Fundraising,
76,2504,,Fisher and Sons,http://www.kidd.com/,Anguilla,Secured well-modulated projection,2005,Banking / Mortgage,
77,2545,,Duarte-Pitts,http://dalton.com/,Ireland,Seamless holistic migration,1983,Defense / Space,
78,2549,,Dixon-Rivas,http://mercado.com/,Mexico,Grass-roots disintermediate project,2004,Graphic Design / Web Design,
79,2567,,Kerr-Frank,http://www.solomon.net/,Macedonia,Balanced holistic task-force,1986,Investment Management / Hedge Fund / Private Equity,
80,2580,,Juarez Group,http://barrett.info/,Equatorial Guinea,Reactive eco-centric definition,2004,Photography,
81,2608,,Riley Group,https://www.rice.com/,Austria,Quality-focused fault-tolerant website,1972,Health / Fitness,
82,2626,,Whitney LLC,http://carson-watson.info/,Tonga,Visionary interactive function,1979,Printing,
83,2630,,Vaughn Inc,http://www.adams.biz/,Cocos (Keeling) Islands,User-friendly explicit orchestration,1971,Defense / Space,
84,2707,,Jarvis-Mercado,https://krause.com/,Algeria,Programmable mission-critical capacity,2021,Government Relations,
85,2709,,Durham and Sons,http://www.armstrong.net/,Comoros,Persistent local installation,2022,Medical Equipment,
86,2719,,Haas-Hoffman,https://www.evans-cochran.com/,Lao People's Democratic Republic,Ergonomic next generation encoding,1998,Plastics,
87,2765,,Raymond LLC,http://baker-malone.com/,Argentina,Assimilated optimizing project,1988,Education Management,
88,2773,,Buck PLC,https://henson-gray.com/,Togo,Devolved 6thgeneration approach,1999,Insurance,
89,2908,,Burgess LLC,https://www.mcintyre.com/,Malta,Persevering static data-warehouse,1992,Import / Export,
90,2912,,Spencer-Olson,http://www.monroe.com/,Madagascar,Assimilated zero-defect standardization,2015,International Affairs,
91,2930,,Meza-Pugh,http://www.randolph-carpenter.com/,Sierra Leone,Optimized 5thgeneration orchestration,2019,Public Relations / PR,
92,2956,,Palmer LLC,https://watson-cain.com/,Algeria,Ameliorated 4thgeneration Local Area Network,2020,Wine / Spirits,
93,2968,,Maldonado-Herrera,https://zhang.com/,Antigua and Barbuda,Re-engineered optimizing intranet,1977,Environmental Services,
94,3014,,Petty-Olsen,http://www.li-moon.com/,Chile,Front-line leadingedge adapter,2002,Education Management,
95,3048,,Gilbert-Kemp,https://ayers.com/,Turkey,Reverse-engineered fresh-thinking projection,2001,Import / Export,
96,3091,,Madden LLC,https://www.irwin-yoder.com/,United Arab Emirates,Expanded non-volatile archive,1987,Broadcast Media,
97,3102,,Santiago-Doyle,http://www.marsh.org/,Barbados,Profit-focused methodical contingency,2021,Machinery,
98,3166,,Flynn Group,https://reese-lyons.net/,Cote d'Ivoire,Seamless bi-directional customer loyalty,2003,Fundraising,
99,3335,,Lane-Dorsey,http://www.davenport-doyle.info/,Lao People's Democratic Republic,Phased fresh-thinking attitude,1984,Textiles,
100,3336,,Frost-Shelton,https://gallagher.com/,Gabon,Expanded client-driven projection,2011,Machinery,
101,3363,,Wolf Ltd,https://daugherty-hartman.info/,Iceland,Ergonomic asymmetric Internet solution,1999,Defense / Space,
102,3385,,Flowers-Sloan,http://www.herrera.org/,Oman,Synergistic executive installation,1996,Ranching,
103,3427,,Rowland-York,https://donaldson.biz/,Uruguay,Fully-configurable didactic migration,2007,Higher Education / Acadamia,
104,3439,,Hodges Group,https://zhang.com/,Swaziland,Universal hybrid benchmark,1971,Consumer Goods,
105,3460,,Hodges-Ayala,http://www.watts.com/,Argentina,Expanded user-facing function,2021,Human Resources / HR,
106,3492,,Coffey PLC,http://www.blair-mcmillan.com/,Qatar,Open-architected contextually-based groupware,2015,Individual / Family Services,
107,3501,,Hood Ltd,https://blackwell-soto.info/,Macao,Assimilated eco-centric application,2010,Nanotechnology,
108,3565,,Hutchinson-Powell,http://www.mooney-grimes.biz/,Bahamas,Advanced multimedia structure,1971,Maritime,
109,3579,,Cummings and Sons,https://vang.biz/,Niger,Programmable static contingency,1994,Chemicals,
110,3581,,French-Kirby,https://hays-barton.com/,Malta,Secured attitude-oriented leverage,2002,Commercial Real Estate,
111,3582,,Madden and Sons,https://allen-pineda.org/,Latvia,Devolved transitional standardization,1986,Individual / Family Services,
112,3599,,Dixon Inc,https://www.massey.com/,Guatemala,Organized static service-desk,1983,Information Services,
113,3622,,Meyers PLC,http://www.york.info/,Bolivia,Profound mobile moderator,2022,Nanotechnology,
114,3694,,Kelley and Sons,https://www.boone.com/,Mauritania,Polarized secondary extranet,2014,Airlines / Aviation,
115,3698,,Rubio LLC,http://snow.info/,Portugal,Streamlined zero-defect secured line,2008,Oil / Energy / Solar / Greentech,
116,3702,,Pitts Ltd,https://www.mahoney.net/,Macedonia,Inverse encompassing alliance,1970,Oil / Energy / Solar / Greentech,
117,3708,,Olsen LLC,https://www.gillespie.net/,Saint Lucia,Team-oriented neutral intranet,2012,Sports,
118,3752,,Lloyd-Vincent,http://cummings-camacho.info/,Guernsey,Optimized actuating Internet solution,1976,Automotive,
119,3796,,Franklin and Sons,https://www.horn-cross.com/,Fiji,Mandatory bi-directional definition,2003,Events Services,
120,3810,,Christensen LLC,https://www.hendricks.com/,Uruguay,Streamlined user-facing database,1974,Performing Arts,
121,3840,,Rodriguez-Harrell,https://branch-jimenez.info/,Saint Barthelemy,Persevering even-keeled instruction set,1986,Packaging / Containers,
122,3852,,Dalton-Rubio,http://christian.com/,Cayman Islands,Re-engineered 3rdgeneration benchmark,2014,Legal Services,
123,3864,,Padilla-Duffy,https://foley.net/,Liechtenstein,Universal exuding methodology,1981,Information Technology / IT,
124,3931,,Carpenter Ltd,http://fernandez-duran.com/,Vietnam,Function-based asymmetric approach,1991,Automotive,
125,3960,,Avery-Cole,https://deleon.com/,British Indian Ocean Territory (Chagos Archipelago),Intuitive directional Graphical User Interface,1985,Legislative Office,
126,3964,,Avery-Mccoy,https://ford.com/,Peru,Pre-emptive intangible architecture,1983,Real Estate / Mortgage,
127,4001,,Gay PLC,https://www.bolton.org/,Romania,Cloned didactic access,2002,Banking / Mortgage,
128,4081,,Hurst LLC,http://www.jacobson.com/,San Marino,Optional transitional toolset,2006,Warehousing,
129,4101,,Allison Ltd,http://www.stone.com/,El Salvador,Upgradable global service-desk,1981,Executive Office,
130,4168,,Richardson LLC,https://buckley.com/,Samoa,Team-oriented neutral intranet,2019,Investment Management / Hedge Fund / Private Equity,
131,4219,,Benton-Gould,http://www.chang-frey.net/,Saint Kitts and Nevis,Networked upward-trending conglomeration,1980,Renewables / Environment,
132,4229,,Juarez-Stephenson,https://leon-potter.net/,Peru,Self-enabling radical algorithm,1990,Management Consulting,
133,4308,,Riddle and Sons,http://randolph.com/,Cook Islands,Seamless solution-oriented initiative,2007,Paper / Forest Products,
134,4339,,Weeks-Shelton,https://burton-osborne.net/,Estonia,Face-to-face zero-defect contingency,2009,Marketing / Advertising / Sales,
135,4347,,Singh-Cooley,http://www.summers-oliver.com/,Latvia,Up-sized next generation moderator,1987,Biotechnology / Greentech,
136,4359,,Ewing Inc,https://mclaughlin.com/,Reunion,Optional fresh-thinking Local Area Network,2019,Recreational Facilities / Services,
137,4376,,Frank and Sons,https://grant.com/,Congo,Sharable web-enabled database,1980,Outsourcing / Offshoring,
